hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.3752,153,180,234,206.1041,206
0.05,0.4225,151,177,232,204.307,204
0.1,0.4802,144,175,230,202.3224,202
0.15000000000000002,0.5307,150,173,228,200.4457,200
0.2,0.5724,147,171,227,198.818,199
0.25,0.6354,143,169,224,196.572,197
0.30000000000000004,0.6823,137,167,222,194.8075,195
0.35000000000000003,0.7259,144,165,220,192.9397,193
0.4,0.7783,139,163,219,190.6137,191
0.45,0.8129,138,161,216,189.0585,189
0.5,0.847,135,159,215,186.9119,187
0.55,0.8783,132,157,212,184.8237,185
0.6000000000000001,0.906,135,156,210,182.8662,183
0.65,0.9286,127,153,208,181.1492,181
0.7000000000000001,0.9426,126,151,207,179.2169,179
0.75,0.9556,124,150.97500000000002,205,177.2142,177
0.8,0.9675,124,148,203,175.5044,176
0.8500000000000001,0.9784,124,146,201,173.5593,174
0.9,0.982,116,145,199,171.5782,171
0.9500000000000001,0.9909,123,143,197,169.5094,170
1,0.9893,118,141,196,167.9288,168
